History Length,Forecast Length,Units,Epochs,Loss
350,10,[20],4,0.01446691218537535
350,10,[200],8,0.0062692098722409596
350,10,[80],7,0.007316056095038393
350,10,[160],3,0.023001418645225875
350,10,[180],3,0.028553926749862495
350,10,[20],8,0.010801730333711863
350,10,[120],4,0.016120124595753633
350,10,[40],4,0.015808349489512014
350,10,[100],4,0.020903172151655915
350,10,[120],10,0.0062631058612483545
350,10,[120],5,0.021551091894432658
350,10,[60],4,0.01855151132285568
350,10,[80],6,0.02284653457853387
350,10,[140],4,0.017594672712002272
350,10,[160],4,0.02363691778129123
350,10,[140],6,0.01013283796469216
350,10,[20],5,0.021526908799972974
350,10,[200],5,0.008081515444396387
350,10,[140],7,0.006938700224852593
350,10,[20],6,0.009744498201686566
350,10,[80],5,0.047849209477077236
350,10,[180],5,0.018779734093980583
350,10,[60],8,0.007646760004937631
350,10,[100],8,0.0057355729000861805
350,10,[40],8,0.007722846203783053
350,10,[160],6,0.00800377797596358
350,10,[200],9,0.006141045892129356
350,10,[40],6,0.010598781682608801
350,10,[180],9,0.00625336668762276
350,10,[40],5,0.024648228225774158
350,10,[40],9,0.006285058738426585
350,10,[180],6,0.010219709325992477
350,10,[100],7,0.007039615141604212
350,10,[140],8,0.006287727902864361
350,10,[20],7,0.016551897695423017
350,10,[160],7,0.009332473858433055
350,10,[160],8,0.006219271291405778
350,10,[120],9,0.007078652915632428
350,10,[160],9,0.006249918454490069
350,10,[80],9,0.006869829449875072
350,10,[140],9,0.006194237785374732
350,10,[120],8,0.006795950204697797
350,10,[60],10,0.006252130184043082
350,10,[20],9,0.006325475690106715
350,10,[40],10,0.006146547782111356
350,10,[140],10,0.0064160173050663485
350,10,[80],10,0.006611148749798848
350,10,[200],10,0.006187731312113384
350,10,[180],10,0.006285503996717447
400,10,[20],1,0.02196367828566133
400,10,[160],1,0.05789603706144137
400,10,[180],4,0.038534580865442716
400,10,[140],3,0.020743246274743932
400,10,[80],4,0.018779760278028804
400,10,[200],9,0.006297613959798709
400,10,[80],7,0.007820959419275225
400,10,[200],2,0.014819922412032546
400,10,[200],3,0.01941628951553849
400,10,[200],5,0.007609397445412741
400,10,[180],5,0.00726094171322033
400,10,[20],6,0.00964588890719781
400,10,[80],9,0.008110909420200214
400,10,[80],1,0.04387000331900236
400,10,[200],1,0.06600398915105
400,10,[180],1,0.03478796128478231
400,10,[120],1,0.05578971302666853
400,10,[100],1,0.04267790414661606
400,10,[40],1,0.030887913983854
400,10,[20],2,0.010490754208794145
400,10,[140],2,0.009559007333297967
400,10,[40],2,0.009706047749968822
400,10,[140],1,0.05102211641888749
400,10,[120],2,0.010679045826858392
400,10,[60],1,0.03501637705097983
400,10,[100],2,0.013815029399966355
400,10,[180],3,0.01917382995804415
400,10,[40],3,0.016217579147274126
400,10,[160],3,0.02275429474324683
400,10,[100],4,0.014948463296354596
400,10,[60],4,0.011980710881658176
400,10,[40],4,0.018431065033206323
400,10,[160],2,0.009480297790635072
400,10,[60],2,0.013187554215642104
400,10,[80],2,0.007882022650863192
400,10,[120],6,0.00622461095501446
400,10,[40],6,0.029280965582516503
400,10,[180],2,0.010802525129462578
400,10,[140],6,0.008826766967410454
400,10,[140],4,0.019299952193877222
400,10,[200],8,0.006024173702210635
400,10,[200],6,0.0072587740618101585
400,10,[160],4,0.028170971392976297
400,10,[80],8,0.006229033725598775
400,10,[60],8,0.006879951819125977
400,10,[20],4,0.016410424136734037
400,10,[20],9,0.0069226538159585455
400,10,[40],7,0.008669915812517241
400,10,[80],5,0.034557703623117705
400,10,[20],7,0.010079930922551383
400,10,[180],8,0.006213942542083613
400,10,[120],7,0.006410050228488081
400,10,[100],5,0.007239315034910336
400,10,[140],9,0.006242547963394134
400,10,[120],3,0.022811597871961232
400,10,[60],10,0.0061125387333733515
400,10,[60],7,0.017312202163475614
400,10,[180],7,0.0067113289941213026
400,10,[100],3,0.020860394811305125
400,10,[160],7,0.007257422200907163
400,10,[60],3,0.015062379051952852
400,10,[20],3,0.012814202622435662
400,10,[80],3,0.018798292468066514
400,10,[120],4,0.019475729125348257
400,10,[160],8,0.005883498057605506
400,10,[200],4,0.03442292510412824
400,10,[180],9,0.005905044209209324
400,10,[120],9,0.006221631803622261
